platform,item_id,title,card_count_public,public_price_eur,sold_state,condition,composition_or_notes,sold_state_confidence,price_realization_confidence,source_url,source_origin,last_checked
Vinted,9278012553,"Pokemon Bulk Reisegefährten 9 Holo/Reverse keine Doppelten!",60,4.00,confirmed_sold,"New","60 cards; 9 holo/reverse; no duplicates",high,medium,"https://www.vinted.de/items/9278012553-pokemon-bulk-reisegefahrten-9-holoreverse-keine-doppelten","public_search_index",2026-09-08
Vinted,9767720075,"50 Carte Pokemon",50,2.00,confirmed_sold,"Very good","Generic 50-card Pokémon lot; composition not recovered",high,medium,"https://www.vinted.it/items/9767720075-50-carte-pokemon","public_search_index",2026-09-08
Vinted,9476757746,"50 cartes pokemon + Méga-Latias EX",50,5.00,confirmed_sold,"Very good","50 cards plus guaranteed Mega-Latias EX; strong composition comparator for hero-card bundles",high,medium,"https://www.vinted.es/items/9476757746-50-cartes-pokemon-mega-latias-ex","public_search_index",2026-09-08
Vinted,9246560668,"Mazzo carte pokemon 60",60,6.50,confirmed_sold,"New without tags","60 genuine Italian cards; no duplicates; no Energy; excellent condition",high,medium,"https://www.vinted.es/items/9246560668-mazzo-carte-pokemon-60","public_search_index",2026-09-08
Vinted,9425945526,"Mazzo carte pokemon 60",60,6.80,confirmed_sold,"New without tags","60 genuine Italian cards; no duplicates; no Energy; repeated seller/product format",high,medium,"https://www.vinted.es/items/9425945526-mazzo-carte-pokemon-60","public_search_index",2026-09-08
Vinted,9007418026,"Mazzo carte pokemon 60",60,5.80,confirmed_sold,"New without tags","60 genuine Italian cards; no duplicates; no Energy; repeated seller/product format",high,medium,"https://www.vinted.es/items/9007418026-mazzo-carte-pokemon-60","public_search_index",2026-09-08
Vinted,9308906657,"Mazzo carte pokemon 60",60,6.50,confirmed_sold,"New","60 genuine Italian cards; many shiny cards; no duplicates; no Energy; repeated seller/product format",high,medium,"https://www.vinted.de/items/9308906657-mazzo-carte-pokemon-60","public_search_index",2026-09-08
Vinted,8994233985,"Lot 70 cartes Pokémon + la boîte",70,4.00,confirmed_sold,"Very good","70 cards plus box; low-price bulk/gift comparator",high,medium,"https://www.vinted.fr/items/8994233985-lot-70-cartes-pokemon-la-boite","public_search_index",2026-09-08
Vinted,9606277565,"Lot de 74 cartes pokémon Nuit noire",74,11.00,confirmed_sold,"Very good","74-card Black Bolt/Nuit noire lot",high,medium,"https://www.vinted.fr/items/9606277565-lot-de-74-cartes-pokemon-nuit-noire","public_search_index",2026-09-08
Vinted,9483847945,"Classeur Pokémon + cartes – 240 emplacements / 70 cartes incluses",70,12.00,confirmed_sold,"Very good","70 cards plus 240-slot binder; accessory-inclusive upper comparator",high,medium,"https://www.vinted.fr/items/9483847945-classeur-pokemon-cartes-240-emplacements-70-cartes-incluses","public_search_index",2026-09-08
Vinted,9064886506,"48 cartas Pokemon",48,23.00,confirmed_sold,"Very good","Fan-art cards in Italian; sold-state evidence is clean but exclude from genuine-Pokémon bundle pricing benchmark",high,medium,"https://www.vinted.ie/items/9064886506-48-cartas-pokemon","public_search_index",2026-09-08
Vinted,9601981573,"Lot de 55 Cartes Pokémon Pikachu Customisé",55,25.00,confirmed_sold,"Very good","Customised Pikachu cards; useful as presentation-demand evidence only, exclude from genuine-card bundle pricing benchmark",high,medium,"https://www.vinted.fr/items/9601981573-lot-de-55-cartes-pokemon-pikachu-customise","public_search_index",2026-09-08
